"Я часто испытываю потребность в движении.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я не ищу новых решений известных проблем.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я постоянно хочу приобретать новые знания.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"В свободное время я с удовольствием занимаюсь физическим трудом.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро считаю «в уме».";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я сильно переживаю, когда сдаю экзамен менее успешно, чем ожидал (а).";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю уединение большой компании.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко одновременно выполнять несколько дел, например, смотреть телевизор и читать.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко выполнять умственную работу, требующую длительного внимания.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я переживаю, когда выполняю задание не так, как следовало бы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я - легок(ка) на подъем.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я огорчаюсь, когда обнаруживаю свои ошибки при выполнении интеллектуальной работы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко переключаюсь с одного дела на другое, занимаясь ручной работой.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро решаю арифметические задачи.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я без труда включаюсь в разговор.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я - подвижный человек.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я устаю от длительной умственной работы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я легко переключаюсь с решения одной проблемы на другую.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю быструю ходьбу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Моя речь медленна и нетороплива.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я часто высказываю свое мнение, не подумав.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я огорчаюсь, если мне не удается что-то смастерить самому(ой).";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я люблю интеллектуальные игры, в которых требуется быстрое принятие решения.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я испытываю неудобство из-за того, что у меня плохой почерк.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я часто испытываю опасение от того, что могу не справиться с работой, требующей умственного напряжения.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я - ранимый человек.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я неохотно выполняю срочную умственную работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я часто не могу заснуть от того, что мне не удается найти решение какой-либо проблемы.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я всегда выполняю свои обещания независимо от того, удобно мне это или нет.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я огорчаюсь, поспорив с друзьями.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"У меня портится настроение, когда я долго не могу решить какую-либо проблему.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко заниматься физическим трудом длительное время.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я чувствовал(а) бы себя дискомфортно, если бы на длительное время был(а) бы лишен(а) возможности общения с людьми.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я никогда не опаздывал(а) на свидание или на работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"У меня много друзей и знакомых.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я регулярно читаю о новых достижениях науки и техники.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я сильно волнуюсь перед предстоящим экзаменом.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Обычно мои мысли текут неторопливо.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравится мастерить вещи своими руками.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я успешно выполняю работу, требующую тонких и скоординированных движений.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко готовиться к нескольким экзаменам одновременно.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Бывает, что я говорю о вещах, в которых не разбираюсь.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Моя речь часто опережает мои мысли.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я склонен(на) преувеличивать свои неудачи, связанные с умственной деятельностью.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я люблю участвовать в спортивных играх, требующих быстрых движений.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Во время беседы мои мысли часто перескакивают с одной темы на другую.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко было бы сдать два экзамена в один день.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я чувствую в себе избыток интеллектуальной энергии.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне нравятся игры, требующие быстроты и ловкости движений.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне трудно говорить быстро.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко завязывать знакомства первым.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я испытываю досаду, когда у меня не хватает ловкости для участия в спортивных играх на отдыхе.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я быстро думаю, находясь в любой ситуации.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Работа, требующая полной отдачи умственных сил, отталкивает меня.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я огорчаюсь от того, что пишу медленно и иногда не успеваю записывать необходимую информацию.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я переживаю, когда меня не понимают в разговоре.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я говорю свободно, без запинок.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я охотно выполняю физическую работу.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне легко выполнять одновременно несколько заданий, требующих умственного напряжения.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я предпочитаю заниматься работой, не требующей большой физической нагрузки.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Я сильно волнуюсь во время экзамена.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
"Мне требуется много времени, чтобы разобраться в той или иной проблеме.";"Не характерно";"Мало характерно";"Довольно характерно";"Характерно"
