"short";"long";"mean";"sd";"min";"max"
"ЭРМ";"Эргичность психомоторная";30;4;12;48
"ЭРИ";"Эргичность интеллектуальная";30;4;12;48
"ЭРК";"Эргичность коммуникативная";30;4;12;48
"ПМ";"Пластичность психомоторная";30;4;12;48
"ПИ";"Пластичность интеллектуальная";30;4;12;48
"ПК";"Пластичность коммуникативная";30;4;12;48
"СМ";"Скорость психомоторная";30;4;12;48
"СИ";"Скорость интеллектуальная";30;4;12;48
"СК";"Скорость коммуникативная";30;4;12;48
"ЭМ";"Эмоциональность психомоторная";30;4;12;48
"ЭИ";"Эмоциональность интеллектуальная";30;4;12;48
"ЭК";"Эмоциональность коммуникативная";30;4;12;48
"КШ";"Контрольная шкала";16;2;6;24
